Year,cigarettes,lung
1875,0.100000001,0
1880,0.100000001,0
1885,0.100000001,0
1890,0.100000001,0
1895,0.100000001,0
1900,0.150000002,0
1901,0.150000002,0
1902,0.150000002,0
1903,0.150000002,0
1904,0.200000003,0
1905,0.425000008,0
1906,0.425000008,0
1907,0.500000019,0
1908,0.549999993,0
1909,0.519999999,0
1910,0.580000001,0
1911,0.866666685,0
1912,0.966666679,0
1913,0.739999995,0
1914,1,0
1915,1.133333345,0
1916,1.549999952,0
1917,1.800000012,0
1918,2,0
1919,1.866666615,0
1920,1.531250007,0
1921,1.877777785,0
1922,1.845000008,0
1923,1.862500012,0
1924,1.973913027,0
1925,2.099999995,0
1926,2.082608689,0
1927,2.149999991,0
1928,2.245833315,0
1929,2.30833334,0
1930,2.412500019,0
1931,2.18750002,0
1932,2.10000001,0
1933,2.119230775,0
1934,2.089285726,0
1935,2.307999983,0
1936,2.590000015,0
1937,2.613636342,0
1938,2.854999989,0
1939,2.95263158,0
1940,2.952380927,0
1941,2.904999989,0
1942,2.895000014,0
1943,2.805000016,0
1944,2.634999995,0
1945,2.840000021,0
1946,3.228571404,0
1947,3.504761889,0
1948,3.631818175,0
1949,3.777272728,0
1950,4.491304356,190.27
1951,4.439130462,321.52
1952,4.617391286,393.73
1953,4.671999979,430.72
1954,4.717391304,491.64
1955,5.120833347,708.22
1956,5.078260862,758.14
1957,5.537500014,804.02
1958,5.465217393,807.79
1959,5.569565182,914.02
1960,5.856666684,1005.27
1961,6.059999983,1080.67
1962,6.086666679,1093.58
1963,6.229999995,1270.97
1964,6.079999987,1421.42
1965,6.40666666,1441.09
1966,6.516666627,1540.47
1967,6.529999932,1666.14
1968,6.686666648,1769.25
1969,6.816666635,1821.81
1970,6.930000019,1902.98
1971,7.056666597,1949.7
1972,7.340000041,1967.67
1973,7.389999978,1936.74
1974,7.673333311,1991.45
1975,7.462500021,2190.3
1976,7.553333282,2190.72
1977,7.633333333,2326.59
1978,7.54000001,2307.97
1979,7.5866666,2293.56
1980,7.459374964,2612.31
1981,7.381250024,3275.19
1982,7.378124952,3269
1983,7.378124982,2680.96
1984,7.346875012,2816.82
1985,7.268750057,3847.71
1986,7.209375009,3863.53
1987,7.037499994,4062.88
1988,6.600000049,3955.77
1989,6.4627907,3889.49
1990,6.357499993,3940.49
1991,6.292682904,3824.99
1992,5.960975606,3934.71
1993,5.811627895,3933.81
1994,5.916279044,3968.27
1995,5.855813975,3958.86
1996,5.797674412,3994.83
1997,5.790697647,3903.06
1998,5.799999969,3995.79
1999,6.056410239,4047.52
2000,5.945945959,4195.21
2001,5.927777754,4199.97
2002,5.797222224,4207.82
2003,5.711111128,4251.22
2004,5.524999936,4032.43
2005,5.166666619,3968.42
2006,5.212500043,4042.74
2007,5.256250024,4074.45
2008,5.224999987,4012.21
2009,4.896874987,4078.04
2010,4.634482754,3953.69
2011,4.386956516,3849.68
2012,4.155000019,3797.92
2013,4.013333337,3664.83
2014,3.884615385,3733.02
2015,3.666666587,3494.75
